,Unnamed: 0,Speech_Number,Para_No,date_x,sentances,old_sentiment,bitcoin_sentiment,digital_count
25,53,86,19,01/08/2020,These are just two of the many ways to design a CBDC.,0,1,1
26,55,86,20,01/08/2020,"Disintermediation – economically inefficient and legally untenableYou may wonder why central banks have not chosen to provide retail access to central bankmoney, despite the technology for an account-based CBDC already being largely available.",0,1,1
27,56,86,20,01/08/2020,Themain reason is that introducing a retail CBDC could have major consequences for the financialsystem,0,1,1
28,57,86,21,01/08/2020," 2 / 4 BIS central bankers' speechesIf households were able to convert commercial bank deposits into a CBDC at a rate of 1 to 1,they may find it far more attractive to hold a risk-free CBDC rather than bank deposits.",2,1,2
29,62,86,22,01/08/2020,"Otherwise – even in theabsence of a crisis – a readily convertible CBDC could crowd out bank deposits, leading to thedisintermediation of the banking sector.",0,1,1
30,65,86,27,01/08/2020,"Furthermore, a retail CBDC would create a disproportionateconcentration of power in the central bank",0,1,1
31,66,86,28,01/08/2020,These potentially highly adverse effects on the financial system would appear to outweigh thebenefits envisaged by the introduction of a retail CBDC,-1,1,1
32,67,86,29,01/08/2020,"What, then, could be done to mitigate the impact of a CBDC on the financial system?One option could be to remunerate CBDC at below-market rates in order to create incentives fornon-banks to rely more on market-based alternatives rather than on central bank deposits.",0,1,2
33,71,86,30,01/08/2020,The central bank would have to refrain from setting a loweror a negative interest rate in order to keep a CBDC attractive to the public as a means ofpayment.,0,1,1
34,75,86,31,01/08/2020,So we have plenty of questions on CBDC to discuss.,-1,1,1
35,78,86,34,01/08/2020,We will only introduce a digital currency ifwe become firmly convinced that it is both necessary and proportionate to fulfil our tasks inensuring the stability of our currency,1,1,1
36,79,86,35,01/08/2020,"In the meantime, we take a keen interest in digital innovation and in the changing expectations ofmoney users, and we are refining our thinking on CBDC – both within the ECB, the Eurosystemand in the international central banking community.",1,1,1
37,80,86,35,01/08/2020,CBDC design choices are not merelytechnical questions.,-1,1,1
38,84,86,37,01/08/2020,"(2020), “Impending arrival – a sequel to the survey on central bankdigital currency”, BIS Paper, No 107",-1,1,1
39,86,86,42,01/08/2020,"(2020), “Tiered CBDC and the financial system”, Working Paper Series, No 2351, ECB",0,1,1
40,87,127,8,03/08/2020,And part of our response involves looking at whether a case could—or should—be made in thefuture for a digital currency issued by the Bank of Canada.,0,0,1
41,89,127,63,03/08/2020,Contingency planning for a central bank digital currencyAll of this leads me to my final area of focus,0,0,1
42,90,127,64,03/08/2020,"In the context of the issues I’ve raised today, there has been increasing discussion around acentral bank digital currency (CBDC).",0,0,2
43,92,127,67,03/08/2020,Today we have released a comprehensive document that outlines in greater detail ourrecommendations with respect to a CBDC,1,0,1
44,93,127,69,03/08/2020,We have concluded that there is not a compelling case to issue a CBDC at this time.,0,0,1
45,97,127,70,03/08/2020,The Bank of Canada can imaginescenarios in which we would consider issuing a CBDC so we can continue to provide Canadianswith trustworthy methods of payment,0,0,1
46,98,127,73,03/08/2020,"Of course, even such a shift toward a cashless society does not automatically mean the Bankwould issue a CBDC.",0,0,1
47,100,127,74,03/08/2020,A second scenario that may lead to considering a CBDC is widespread use of private digitalcurrencies,0,0,1
48,101,127,75,03/08/2020,This could be one dominant digital currency created by a big tech company—a monopoly thatwould erode competition and privacy and pose an unacceptable challenge to Canadian monetarysovereignty,-4,0,1
49,103,127,77,03/08/2020,"The Bankwould do this as a trusted public institution, creating an official digital currency that is designedwith the interest of the public as its top priority, with no commercial motive",0,0,1
50,105,127,78,03/08/2020,More than half of the people surveyed in 13 countriessaid they would prefer a digital currency issued by their central bank.,0,0,1
51,108,127,79,03/08/2020,"That could be challenged if a private digital currencydenominated in another currency, or basket of currencies, made serious inroads",-2,0,1
52,109,127,80,03/08/2020,"Next stepsSo, where to next?While we don’t know what the future may bring, we need to move forward to work out what apotential CBDC might look like and how it could be managed, if the decision were ever taken toissue one",0,0,1
53,110,127,82,03/08/2020,"How could a CBDC be integrated with other methods of payment yet be resilient so that it stillworks during a power failure, for example?What business model might work?",-1,0,1
54,111,127,82,03/08/2020,"Would the Bank try to develop it mainly in-house, or would itmake more sense to partner with the private sector?How would a CBDC work for cross-border transactions?And, perhaps most importantly, how could we ensure that Canadians could continue to transactprivately for legitimate purposes, while guarding against illicit activities like money laundering,terrorist financing and tax evasion?Answering these questions is part of our work.",-5,0,1
55,112,127,82,03/08/2020,And we’re not alone—a recent survey by the Bankfor International Settlements covering 66 central banks found that about 80 percent of them are6currently engaged in CBDC work and 10 percent are likely to issue a CBDC within three years,0,0,2
56,114,127,83,03/08/2020,We will use thisplatform to share experiences as we assess potential cases for a CBDC in our homejurisdictions,0,0,1
57,115,127,84,03/08/2020,But a CBDC could only be launched successfully if Canadians want it.,1,0,1
58,117,127,85,03/08/2020,We’ll also consider which design features might make a CBDC attractive as paymenttechnologies and the financial system evolve,1,0,1
59,118,127,87,03/08/2020,"In addition, we are consulting with various government agencies, recognizing that many areasrelevant to a CBDC are outside the responsibility of the Bank of Canada.",0,0,1
60,120,127,88,03/08/2020,Another essential element is that the Bank would need proper legislative authority to issue aCBDC should the decision be made to issue one,0,0,1
61,121,127,89,03/08/2020," 6 / 8 BIS central bankers' speechesIn our work, we will continue to take a holistic view across the whole payment ecosystem toensure that all aspects—payment systems, cash and any future CBDC—would continue tofunction together to provide Canadians with the efficient, safe and secure payment services theyneed",1,0,1
62,122,127,90,03/08/2020,"All of this will be undertaken while ensuring we manage any risks raised by a CBDC if a decisionis ever taken to issue one—not just for the Bank of Canada but also for banks, payment serviceproviders and end-users",0,0,1
63,125,127,91,03/08/2020,This includes readyingourselves in case a decision is made some day to issue a Bank of Canada digital currency,0,0,1
64,126,127,92,03/08/2020,Some out there may question why we would even need a CBDC when so much of our moneyappears to flow electronically now anyway,-1,0,1
65,127,127,93,03/08/2020,Let’s go back to the two scenarios I presented earlier that could warrant the launch of a CBDC,0,0,1
66,128,127,95,03/08/2020,"If either scenario came to pass, society may be well-served with a digital currency:that is designed, issued and distributed by an organization that is guided by the interest ofthe public good, rather than profit;that is safe, resilient, universally accessible and private—just like cash; andthat is backed by a central bank’s balance sheet and its reputation for preserving the value ofour money",1,0,1
67,129,127,96,03/08/2020,Our intent would not be to issue a CBDC to replace bank notes or chartered bank deposits.,0,0,1
68,131,132,1,27/02/2020,"Masayoshi Amamiya: Central Bank Digital Currency and the futureof payment and settlement systemsRemarks by Mr Masayoshi Amamiya, Deputy Governor of the Bank of Japan, at the Future ofPayments Forum, Tokyo, 27 February 2020",0,0,1
69,134,132,3,27/02/2020,"In this regard, the question as to whether the central bank should issue digital currency(CBDC) or not has become an important issue",-1,0,2
70,136,132,12,27/02/2020,"Even if the use of banknotes were to continue to decline and the Japanese economy became cashless, the centralbank would conduct monetary policy under the two-tiered monetary system by controlling centralbank current accounts, which is digital money, and act as the “lender of last resort.” The centralbank may face challenges, such as monetary transmission channels becoming more complexor getting a grasp of money becoming more difficult.",-3,0,1
71,141,132,15,27/02/2020,"For example, funds transfer service providers, typicallynamed “XYZ Pay,” and prepaid payment instruments issuers, such as retailers and transportcompanies, issue digital money that differs from traditional cash and bank deposits, and the useof such digital money seems to be expanding.",0,0,2
72,143,132,17,27/02/2020,CBDC Discussion in Foreign Central BanksIn a world where the environment surrounding the payment and settlement systems and money,0,0,1
73,144,132,18,27/02/2020,"2 / 4 BIS central bankers' speecheshas been rapidly changing, what roles and functions will be expected for CBDC?",0,0,1
74,145,132,18,27/02/2020,Foreign centralbanks investigating the issuance of CBDC could be put into three groups,-1,0,1
75,147,132,19,27/02/2020,"In Sweden, decrease in the outstanding amount of cash incirculation, having reached less than two percent of GDP, is behind their motivation to explorethe possibility of the issuance of CBDC.",0,0,1
76,151,132,21,27/02/2020,"Though details of the design are as yet unknown, according toinformation officially released up to now, the People’s Bank of China (PBoC) clearly aims atissuing CBDC as a substitute for cash in circulation.",0,0,1
77,154,132,22,27/02/2020,"The need for CBDC isnot necessarily increasing, as observed in the aforementioned countries.",0,0,1
78,157,132,24,27/02/2020,"Issues regarding CBDCWhat, then, will be the roles and functions expected for CBDC, other than those discussed inthese cases?",0,0,2
79,159,132,24,27/02/2020,"In this way, not only potential benefits of CBDC, but also various issues thatneed to be addressed will come to light",0,0,1
80,162,132,25,27/02/2020,CBDC is expected to play a part in this.,0,0,1
81,165,132,26,27/02/2020,"In this sense, ensuring the interoperability betweenprivate digital money is a challenge.",-1,0,1
82,167,132,26,27/02/2020,"In other words, it is often the casethat a digital money issued by a NBPSP cannot be accepted by another NBPSP’s membermerchant.",0,0,1
83,169,132,27,27/02/2020,What roles is CBDC expected to play in these cases?,0,0,1
84,170,132,27,27/02/2020,CBDC can help remove barriers of P2Ppayments and significantly improve the interoperability between different types of private digitalmoney.,0,0,1
85,171,132,27,27/02/2020,CBDC can contribute to improving the efficiency of payments by interlinking varioustypes of private digital money.,2,0,2
86,172,132,27,27/02/2020,"In fact, there seem to be high expectations for CBDC in thisrespect",0,0,1
87,174,132,28,27/02/2020,"There are a lot of issues to be considered comprehensivelyregarding CBDC, including its implications on payment and settlement systems and the overallfinancial system.",0,0,1
88,175,132,28,27/02/2020,"As in the cases mentioned earlier, while the issuance of CBDC couldcontribute to interlinking various types of private digital money, it could also present the risk ofcrowding out the existing private services, such as bank fund transfers.",0,0,2
89,176,132,28,27/02/2020,"Moreover, if the paymentcost associated with CBDC is much lower than that of private payment services, most of themerchants would prefer to accept payment via CBDC, rather than via the private digital money",0,0,3
90,177,132,30,27/02/2020,"In addition, if firms and individuals preferred holding CBDC to bank deposits, this would affectbanks’ funding and the function of financial intermediation, including bank lending.",0,0,1
91,180,132,31,27/02/2020,"If the central bank issues CBDC, relevant transactioninformation will flow into the central bank.",0,0,1
92,182,132,32,27/02/2020,The central bank needs to deepen the understanding of the benefits as well as the challengesand risks of issuing CBDC.,0,0,1
93,186,132,33,27/02/2020,"In the previous examples, it is important for the privatesector to improve the interoperability of payments, improve the efficiency of the existing paymentinfrastructure, and eliminate friction in the exchange of digital money.",3,0,1
94,188,132,36,27/02/2020,"Moreover, the Bank of Japan has just established a research team on CBDC within the Paymentand Settlement Systems Department and will conduct further study on various issues throughinformation exchange and discussions with the experts and relevant institutions in Japan, andother central banks",0,0,1
97,202,152,102,28/02/2020,"The rapid decline of cash, the rapidly changing nature of payments and, potentially, of the assets used to make payments, raise the question of whether central banks should leverage new technologies to provide new electronic forms of central bank money – the creation of Central Bank-issued Digital Currencies (CBDC) – as a complement to existing physical banknotes?",-2,1,1
98,203,152,103,28/02/2020,A CBDC could ensure that the public has continued access to a risk-free form of money issued by the central bank,0,1,1
99,204,152,105,28/02/2020,"But, while CBDC poses a number of opportunities, it also raises challenges for the way in which we maintain monetary and financial stability",0,1,1
100,206,152,107,28/02/2020,"Some of these are very similar to those I have discussed earlier with regard to private stable coins such as the implications for the supply of credit to the economy if the role of banks changes, liquidity dynamics both in normal times and in stress, and the risk that a CBDC is too successful and becomes dominant and a single point of failure in itself",0,1,1
101,207,152,108,28/02/2020,"Those opportunities and those downsides, I think, mainly come back to one issue: the extent to which a CBDC substitutes for commercial bank money and payments in commercial bank money and, looking further ahead, for the non-bank money and payments that might emerge, such as stablecoins.",1,1,1
102,208,152,110,28/02/2020," First, how great is public demand for a CBDC and how extensively and for what purpose would people want to use it?",1,1,1
103,209,152,110,28/02/2020,"The answer to this, in turn, is driven by the answer to the second question: what functions would a CBDC perform?",-1,1,1
104,210,152,112,28/02/2020," If we are to get the benefits of CBDC, some substitution must occur.",0,1,1
105,211,152,112,28/02/2020,The question is how to make this happen through the careful design of a CBDC to ensure it promotes stability and good economic outcomes.,1,1,1
106,213,152,112,28/02/2020,"For example, who would be able to access CBDC directly?",1,1,1
107,216,152,117,28/02/2020,These are profound questions and choices that would inform any decision to launch a CBDC.,-1,1,1
108,220,152,120,28/02/2020,"And in thinking about CBDC, we should think about the role it could play in the future and how money and payments might evolve in its absence.",-1,1,1
109,221,196,15,01/08/2018,"To this end, we set up a Eurosystem task force in January to investigate the opportunities andchallenges associated with different potential designs for a central bank digital currency and totest how they would work in practice.",-1,0,1
110,222,196,15,01/08/2018,"In particular, we want to assess whether a central bankdigital currency could serve a clear purpose for the public and support the ECB’s objectives",0,0,1
111,224,206,16,05/02/2020,"By contrast, some technology players have payment systems based on their own digital currency rather than the sovereign currency",0,1,1
112,226,206,18,05/02/2020,"See also Tobias Adrian and Tommaso Mancini-Griffoli, The Rise of Digital Money (Washington:  International Monetary Fund, July 2019), and Darrell Duffie, Digital Currencies and Fast Payment Systems:  Disruption is Coming (Stanford, CA: Graduate School of Business, Stanford University, May 2019).",-1,1,1
113,229,206,20,05/02/2020,One important design choice is whether a digital currency is account-based or token-based.,0,1,1
114,236,206,21,05/02/2020,"A decade ago, Bitcoin was heralded as a new kind of digital money that would serve as a store of value, means of exchange, and unit of account delinked from any sovereign currencies without the need for centralized governance.",0,1,1
115,238,206,21,05/02/2020,"Stablecoins were designed specifically to overcome the volatility of first-generation cryptocurrencies by tying the digital currency to an asset or basket of assets, such as commercial bank deposits or government-issued bonds.",-2,1,1
116,244,206,23,05/02/2020,"In a Bank for International Settlements survey of 66 central banks, more than 80 percent of central banks report being engaged in some type of central bank digital currency (CBDC) work.12  The motivations for this work range from payments safety and robustness for advanced economies to payments efficiency for emerging economies.",1,1,2
117,245,206,23,05/02/2020,"The latest survey suggests there is greater openness to issuing a CBDC than a year ago, and a few central banks report that they are moving forward with issuing a CBDC.",1,1,2
118,246,206,23,05/02/2020,"Building on the tremendous reach of its mobile payments platforms, China is reported to be moving ahead rapidly on plans to issue a digital currency.13 Given the dollar’s important role, it is essential that we remain on the frontier of research and policy development regarding CBDC.",1,1,2
119,247,206,23,05/02/2020,"Like other central banks, we are conducting research and experimentation related to distributed ledger technologies and their potential use case for digital currencies, including the potential for a CBDC.",0,1,1
120,249,206,23,05/02/2020,"In assessing CBDC in the U.S. context, there are policy and design issues to explore, as well as legal considerations.",0,1,1
121,250,206,23,05/02/2020,"It is important to consider whether a new form of digital central bank liability might improve the payment system, taking into account the innovations offered by                                                       12 Cordruta Boar, Henry Holden, and Amber Wadsworth, Impending Arrival—A Sequel to the Survey on Central Bank Digital Currency (Basel:  Bank for International Settlements, January 2020), https://www.bis.org/publ/bppdf/bispap107.htm.",1,1,1
122,251,206,23,05/02/2020,"13 See Yuan Yang and Hudson Lockett, “What is China’s Digital Currency Plan?” Financial Times, November 25, 2019, https://www.ft.com/content/e3f9c3c2-0aaf-11ea-bb52-34c8d9dc6d84; and Scott Horsley, “China to Test Digital Currency.",0,1,2
123,255,206,24,05/02/2020,"Another consideration is whether a CBDC would reduce complexity in payments, improve end-to-end processing, or simplify recordkeeping.",1,1,1
124,256,206,24,05/02/2020,"With regard to cross-border payments, it is important to consider what would be required in terms of cross-border cooperation for CBDCs to address current frictions and reduce costs",0,1,1
125,257,206,25,05/02/2020,It is also vital to consider the implications for the broader financial system of the issuance of a CBDC.,0,1,1
126,258,206,25,05/02/2020,"In light of considerations of privacy and guarding against illicit activity, issuance of a digital currency would raise important questions about what kinds of intermediaries might provide CBDC transaction accounts for consumers.",-3,1,2
127,261,206,25,05/02/2020,"Related to this, the design of any CBDC needs to address important questions surrounding financial stability.",0,1,1
128,262,206,25,05/02/2020,A variety of approaches have been put forward to address the potential run risk associated with the ability to convert commercial bank deposits into CBDC with a simple swipe.14  There are also important legal considerations.,0,1,1
129,263,206,25,05/02/2020,It is important to understand how the existing provisions of the Federal Reserve Act with regard to currency issuance apply to the CBDC.,0,1,1
130,264,206,25,05/02/2020,"It is also important to consider whether CBDC would have legal tender status, depending on the design.",0,1,1
131,267,206,25,05/02/2020,"- 13 - and protections for Federal Reserve notes in the current system, it is untested for new instruments such as CBDC and, more generally, other digital currencies.",0,1,1
132,268,206,25,05/02/2020,"A different approach may be necessary to ensure that holders of CBDC have appropriate protections, including privacy rights, fraud protection, digital identity safeguards, and data protection",-1,1,1
133,269,206,26,05/02/2020,These are some of the issues that would need to be addressed before deciding to issue a CBDC in the United States.,0,1,1
134,270,206,26,05/02/2020,"Some of the motivations for a CBDC cited by other jurisdictions, such as rapidly declining cash use, weak financial institutions, and underdeveloped payment systems, are not shared by the United States.",-2,1,1
135,275,206,26,05/02/2020,"In the United States no less than in other major economies, the public sector needs to engage actively with the private sector and the research community to consider whether new guardrails need to be established, whether existing regulatory perimeters need to be redrawn, and whether a CBDC would deliver important benefits on net.",0,1,1
136,298,223,13,01/08/2019,"Impressive growth Bank Indonesia projects credit growth to reach  of e-money transactions was maintained in around 8% in 2019 and 10-12% in 2020, with  October 2019 at 268.0% (yoy) in line with deposit growth expected to reach around 8% in  greater public uptake of digital currency and 2019 and 8-10% in 2020. broader e-money integration into the nascent digital ecosystem (Graph 17).",2,0,1
137,308,250,17,15/01/2020,"In that perspective, central banks could, for instance, issue theirmoney in digital form, the so-called concept of Central Bank Digital Currency (CBDC).",0,0,2
138,315,250,18,15/01/2020,3 / 4 BIS central bankers' speechesstart  running  experiments  rapidly  to  possibly  integrate  a  “wholesale”  CBDC  into  innovativeprocedures for exchanging and settling tokenised financial assets,0,0,1
139,316,261,20,08/01/2020,"In terms of the road ahead, the ECB will continue to assess the costs and benefits of issuing acentral bank digital currency (CBDC) that would ensure that the general public remains able touse central bank money even if the use of physical cash eventually declines.",0,0,2
140,318,261,20,08/01/2020,"We are looking closely into thefeasibility and merits of a CBDC, also because it could have major implications for the financialsector and for the transmission of monetary policy.",0,0,1
141,320,261,21,08/01/2020,"3 / 4 BIS central bankers' speecheseuro area CBDC in various forms, covering all the practical aspects, including how to minimisepossible unintended side-effects",-1,0,1
142,324,262,22,02/01/2020,"While organizing a task force dedicated to the research related to central bank digital currency and adding more experts in this field to the workforce, the Bank of Korea will have to participate actively in related discussions at international organizations.",-1,1,1
143,326,19,28,01/08/2019,"In 2014, before the words “fintech” and “digital currencies” became popular, Dr Zhouset up a Digital Currency Research Institute within the PBoC to explore how newtechnologies like the blockchain and digital tokens could improve and strengthenChina’s financial system",2,0,1
144,327,19,29,01/08/2019,"Today, China is a leading fintech player and there is even speculation that PBoCmay become the first central bank in the world to issue its own digital currency – atopic that Dr Zhou will probably touch on, and if he does not, one of you I am surewill ask him about!And now, ladies and gentlemen, please join me in welcoming Dr Zhou Xiaochuan to deliver thetenth MAS Lecture",1,0,1
145,328,40,12,12/09/2019,"The areas of interest are open banking, SupTech, securities and cash settlement of the CBC’s operations using DLT, cryptoassets from a financial stability perspective, digital payments (retail and cross–border, mainly), CBDCs, cybersecurity from a financial stability perspective, and Big data and digital economy.",2,0,1
146,329,40,26,12/09/2019,"Now, I will narrow the topic of blockchain to Central Bank Digital Currencies (CBDC), which is the focus of our panel, and talk about the motivations, benefits and concerns.",-1,0,1
147,330,40,27,12/09/2019,"To begin with, it is important to understand that CBDCs are not new, and Central Banks have been issuing CBDCs since the first RTGS systems were around.",0,0,2
148,332,40,27,12/09/2019,"Even though this form of CBDC is not blockchain based, it is important to mention that the CBDC concept is not a novelty.",0,0,2
149,333,40,29,12/09/2019,"That being said, the central banks need to have a clear motivation to issue a CBDC.",0,0,1
150,334,40,29,12/09/2019,"These motivations will be different and therefore the CBDCs will be different in their design, benefits and concerns.",-1,0,1
151,335,40,30,12/09/2019,"One way of categorizing CBDCs is by their access: general purpose, or retail, and wholesale.",0,0,1
152,338,40,36,12/09/2019,"c.  In a world with a widely used CBDC, commercial banks could be smaller/less systemic.",0,0,1
153,339,40,36,12/09/2019,"CBDCs can give central banks more intervention tools and reduce the risk of runs (Kumhof and Noone, 2018).",0,0,1
154,341,40,36,12/09/2019,e.  Monetary policy channels in a world with CBDCs may be faster and more powerful.,0,0,1
155,344,40,38,12/09/2019,"Lastly, use of CBDCs could be explored as a more efficient alternative for remittances",1,0,1
156,345,40,40,12/09/2019,"The cross-border use of CBDC would reap the benefits of crypto-based methods, without their risks.",0,0,1
157,347,40,41,12/09/2019,•Cross-border use of a CBDC may be explored as a more efficient alternative for remittancesA wholesale CBDC may have •Remittances using a structure of correspondent several benefits institutions are expensive and usually take time to settle.,1,0,2
158,349,40,42,12/09/2019,"•The cross-border use of CBDC would reap the benefits of crypto-based methods, without their risks.",0,0,1
159,352,40,43,12/09/2019,"Development and management costs of a CBDC, specially a retail CBDC that is available for a large number of people, can be substantial.",0,0,2
160,355,40,43,12/09/2019,The level of anonymity that the CBDC should have is still a matter of discussion.,0,0,1
161,357,40,43,12/09/2019,"The public is already frightened by how much sensitive individual information is stored (NSA, Uber, Google, Facebook…), it is possible that a CBDC could create anonymity concerns.",-1,0,1
162,360,40,45,12/09/2019,Guaranteed convertibility of bank deposits into CBDCs?,0,0,1
163,361,40,45,12/09/2019,"d.  Finally, there are some additional risks to take into account: Reputational risk if CBDC is not widely adopted by the public, or if privately issued currencies gain more traction; Financial exclusion of the “non-tech” persons?",1,0,1
164,362,40,46,12/09/2019,"Even though many CBDC experiences are from developed economies such as Canada and Sweden, there are also some experiments in developing economies such as China, Colombia and Uruguay.",0,0,1
165,363,40,46,12/09/2019,"For emerging economies, where persons tend to be financially underserved, is CBDC the most efficient way to solve this problem?",0,0,1
166,366,40,51,12/09/2019,Also is far from obvious that all market participants should have access to sensitive information such as all transactions in which the CBDC was used.,0,0,1
167,368,41,13,17/09/2019,Some also suggest that the right answer to Libra is accelerating the creation of a Central Bankdigital currency (CDBC).,0,0,1
168,371,43,4,17/09/2019,"Yet, whatever faith awaits private digital money, they will likely change the international monetary and financial system in one way or another, either directly or by driving global central banks to innovate",1,0,1
169,374,43,32,17/09/2019,"[34]Central bank digital currenciesA second, and related, equilibrium is what Bank of England Governor Mark Carney recently called a synthetic hegemonic currency that is provided through a network of central bank digital currencies – CBDCs for short.",0,0,1
170,375,43,32,17/09/2019,"[35]Many central banks have been working on CBDCs in recent years, though at differing speeds, depending on differences in demand for cash by citizens, among others.",0,0,1
171,378,43,32,17/09/2019,The https://www.ecb.europa.eu/press/key/date/2019/html/ecb.sp190917~9b6... 18.09.2019Digital challenges to the international monetary and financial system Page 5 of 8People’s Bank of China has also reportedly accelerated plans for its own digital currency in response to Libra.,-1,0,1
172,383,43,32,17/09/2019,[39]The next natural step would be for global central banks to join forces and jointly investigate the feasibility of CBDCs based on common technical standards,-1,0,1
173,384,43,33,17/09/2019,Digital currency areasThe third equilibrium that I would like to briefly sketch out would be more disruptive.,-1,0,1
174,385,43,33,17/09/2019,"It would be in the spirit of what Markus Brunnermeier, Harold James and Jean-Pierre Landau have called “digital currency areas” that would cut across borders.",-1,0,1
175,386,43,33,17/09/2019,[40]Digital currency areas are networks where payments and transactions are made digitally by using a currency specific to the network – be it a fiat currency or not.,0,0,1
176,388,43,34,17/09/2019,"At one extreme, cooperation would cut across continents and lay the ground for the rise of a truly globalprivate digital currency.",-1,0,1
177,392,43,38,17/09/2019,"[45]In other words, the journey towards digital currency areas would be long and full of perils.",-1,0,1
178,396,43,76,17/09/2019,"[36]See Barontini, C. and Holden, H. (2019), “Proceeding with caution – a survey on central bank digital currency”, BIS Papers, No 101, Bank for International Settlements, January",-1,0,1
179,397,43,77,17/09/2019,[37]China sees global leadership in digital payment services as a strategic goal – precisely with the aim of avoiding the future of digital money being dominated by one player in the way that the global monetary and financial system has so far been dominated by one currency.,1,0,1
180,400,43,80,17/09/2019,"[40]See Brunnermeier, M., James, H. and Landau, J. P. (2019), “Digital currency areas”, Vox, 3 July",0,0,1
181,401,43,83,17/09/2019,"[43]For further detail see Adrian, T. and T. Mancini-Griffoli (2019), “The rise of digital money”, IMF Fintech Note, 19/01.",0,0,1
182,402,43,83,17/09/2019,"Dual or multiple currency systems entail transaction costs for agents which explain why they remain relatively rare (see Engel, C. (2018), “The Implications of Digital Currencies for Monetary Policy and the International Monetary System,” paper presented at the ABFER workshop on digital currency economics and policy, Singapore, 14-18 November 2018.",0,0,1
183,407,56,33,10/09/2019,This is especially relevant given that the only viable alternative to physical cash is introducingsome form of central bank digital currency.,0,0,1
184,409,65,7,10/09/2019,"No doubt, there is currently a rather active strand of research into distributed ledger technologiesand various forms of digital money",-1,0,1
185,410,104,69,23/08/2019,"Of course, there would be many execution challenges, not least the risk of fragmentation across Digital Currency Areas.44  But by leveraging the medium of exchange role of a reserve currency, an SHC might smooth the transition that the IMFS needs.",0,0,1
186,419,104,70,23/08/2019,"                                                          44 For more discussion of this, see Brunnermeier, MK, James, H and Landau, JP (2019), ‘Digital currency areas’, VoxEU.",0,0,1
187,425,111,2,07/06/2019,We will cap our day with presentations and a panel discussion on Central Bank Digital Currency (CBDC).,0,1,2
188,427,111,2,07/06/2019,An example of this is the increasing number of central banks carefully considering entering the CBDC space.,0,1,1
189,428,111,2,07/06/2019,"We are excited to welcome Mr. Kiff, of the IMF and one of the co-authors of the discussion note of the IMF on the development and implementation of CBDC.",1,1,1
